Date,Date.1,UNIONBANK.NS.Open,UNIONBANK.NS.High,UNIONBANK.NS.Low,UNIONBANK.NS.Close,UNIONBANK.NS.Volume,UNIONBANK.NS.Adjusted,log_returns
2013-11-19,2013-11-19,130.5,132.5,128.5,130.949997,4648084.0,120.29438,0.007281171453266565
2013-11-20,2013-11-20,130.0,131.199997,125.699997,126.75,4497618.0,116.436134,-0.03259898867008548
2013-11-21,2013-11-21,125.949997,125.949997,120.25,121.050003,3789160.0,111.199959,-0.04601290356593957
2013-11-22,2013-11-22,122.0,123.5,118.099998,119.300003,3412493.0,109.592354,-0.01456240380472096
2013-11-25,2013-11-25,120.0,122.800003,119.099998,121.650002,4461178.0,111.751137,0.019506798631906186
2013-11-26,2013-11-26,121.300003,121.300003,116.800003,117.25,5471270.0,107.709167,-0.036839711335248986
2013-11-27,2013-11-27,118.0,118.25,115.300003,116.449997,4186395.0,106.974258,-0.006846470524536129
2013-11-28,2013-11-28,117.900002,117.949997,116.5,117.099998,3456225.0,107.571365,0.005566261696172248
2013-11-29,2013-11-29,116.0,120.900002,115.099998,120.25,4617134.0,110.465057,0.02654475692845093
2013-12-02,2013-12-02,120.0,122.599998,120.0,120.800003,3241264.0,110.970306,0.00456340730729643
2013-12-03,2013-12-03,121.0,121.199997,118.650002,119.0,2425943.0,109.316765,-0.015012883412100388
2013-12-04,2013-12-04,118.699997,119.400002,117.5,118.25,3787116.0,108.6278,-0.006322408590365036
2013-12-05,2013-12-05,121.25,124.0,120.75,122.800003,7018359.0,112.807556,0.037755962627879384
2013-12-06,2013-12-06,123.300003,128.0,121.650002,127.5,8119852.0,117.125107,0.03755933147595236
2013-12-09,2013-12-09,132.199997,134.399994,130.0,132.149994,6400907.0,121.396721,0.03582121426388163
2013-12-10,2013-12-10,132.0,132.0,125.099998,127.050003,5162529.0,116.711731,-0.039356811427706084
2013-12-11,2013-12-11,126.400002,127.400002,124.050003,125.300003,3624300.0,115.104126,-0.013869894773407054
2013-12-12,2013-12-12,125.0,125.5,122.150002,122.599998,3951854.0,112.623825,-0.021783879153139733
2013-12-13,2013-12-13,121.5,121.900002,118.800003,119.0,2828471.0,109.316765,-0.029803514423095482
2013-12-16,2013-12-16,119.0,120.199997,116.699997,117.5,3400834.0,107.938828,-0.012685109351057378
2013-12-17,2013-12-17,118.599998,119.449997,114.5,115.050003,3129043.0,105.688187,-0.021071532314184797
2013-12-18,2013-12-18,114.5,121.800003,114.349998,120.550003,6473616.0,110.740646,0.04669781792828687
2013-12-19,2013-12-19,122.0,122.699997,118.0,118.800003,3677937.0,109.133041,-0.014623247276817963
2013-12-20,2013-12-20,118.400002,124.0,118.400002,123.150002,3739333.0,113.129074,0.03596171704647322
2013-12-23,2013-12-23,122.699997,129.899994,122.699997,128.449997,5343798.0,117.997803,0.04213659101697065
2013-12-24,2013-12-24,129.600006,129.800003,127.150002,128.800003,2843032.0,118.319321,0.0027210740630296826
2013-12-26,2013-12-26,128.75,133.399994,128.149994,129.100006,5055007.0,118.594917,0.002326547586496197
2013-12-27,2013-12-27,129.399994,132.449997,129.199997,130.100006,4012917.0,119.51355,0.0077161267670495795
2013-12-30,2013-12-30,130.899994,132.25,127.099998,127.550003,3020613.0,117.171043,-0.019794980828426567
2013-12-31,2013-12-31,128.399994,130.899994,126.550003,130.399994,3536352.0,119.789124,0.02209812368268871
2014-01-01,2014-01-01,131.100006,132.0,129.5,131.100006,2212907.0,120.432175,0.0053538344741808075
2014-01-02,2014-01-02,131.300003,136.0,125.5,126.599998,7505756.0,116.298332,-0.03492801418991842
2014-01-03,2014-01-03,126.0,128.899994,124.099998,128.550003,3565889.0,118.089668,0.015285516990847903
2014-01-06,2014-01-06,128.5,129.199997,125.0,126.0,2062524.0,115.74716200000002,-0.020036059886983537
2014-01-07,2014-01-07,127.25,127.349998,122.599998,123.900002,3283994.0,113.81803899999998,-0.016807150238678403
2014-01-08,2014-01-08,125.0,130.399994,124.5,129.300003,5847385.0,118.778648,0.04266063606677317
2014-01-09,2014-01-09,130.0,130.449997,125.0,125.75,3496102.0,115.517502,-0.02783960918583084
2014-01-10,2014-01-10,126.5,128.300003,122.699997,123.849998,4257336.0,113.77211,-0.015224638380168187
2014-01-13,2014-01-13,124.400002,126.050003,122.25,124.25,2757047.0,114.139557,0.0032244713331737174
2014-01-14,2014-01-14,125.0,125.199997,122.0,122.25,2419225.0,112.302307,-0.01622747918122336
2014-01-15,2014-01-15,122.849998,125.5,122.849998,125.050003,2954430.0,114.874474,0.022645597053991832
2014-01-16,2014-01-16,125.400002,126.0,123.349998,123.800003,1766409.0,113.726181,-0.01004636367318934
2014-01-17,2014-01-17,123.199997,124.949997,121.599998,122.050003,1839654.0,112.118591,-0.014236478777072568
2014-01-20,2014-01-20,120.0,121.949997,119.199997,121.5,1749091.0,114.13831299999998,0.0178538255797065
2014-01-21,2014-01-21,122.0,124.0,121.400002,122.75,1771504.0,115.312576,0.010235508408505291
2014-01-22,2014-01-22,122.050003,123.150002,121.699997,122.0,2281945.0,114.608017,-0.00612873510943146
2014-01-23,2014-01-23,122.0,122.650002,119.800003,120.0,2933778.0,112.729202,-0.01652925803339933
2014-01-24,2014-01-24,119.0,119.400002,115.5,116.0,2763883.0,108.971558,-0.033901587770725605
2014-01-27,2014-01-27,113.849998,113.849998,110.099998,110.599998,2909337.0,103.898743,-0.04767011253898357
2014-01-28,2014-01-28,110.0,114.0,108.5,110.75,4123992.0,104.039658,0.0013553535171357822
2014-01-29,2014-01-29,112.099998,112.900002,107.699997,108.050003,2491399.0,101.50325,-0.024681335704160645
2014-01-30,2014-01-30,105.599998,107.199997,103.050003,103.400002,4061780.0,97.134987,-0.04398918801727447
2014-01-31,2014-01-31,104.300003,108.699997,103.650002,108.199997,7225780.0,101.644157,0.04537642721149382
2014-02-03,2014-02-03,109.0,109.050003,104.699997,104.949997,3691964.0,98.591072,-0.030497347026314788
2014-02-04,2014-02-04,103.25,106.599998,102.5,106.050003,4211960.0,99.624435,0.010426755985485592
2014-02-05,2014-02-05,107.0,107.0,103.849998,105.599998,2985942.0,99.201691,-0.0042524053105381645
2014-02-06,2014-02-06,106.150002,107.5,104.300003,105.050003,2953493.0,98.685013,-0.005221969578165897
2014-02-07,2014-02-07,106.400002,106.949997,104.800003,105.699997,2233940.0,99.295631,0.0061684811589444175
2014-02-10,2014-02-10,106.400002,106.699997,105.099998,105.349998,1723260.0,98.966843,-0.003316697252573775
2014-02-11,2014-02-11,105.5,106.199997,105.0,105.25,1499438.0,98.872902,-0.000949667692506928
2014-02-12,2014-02-12,105.75,106.650002,103.800003,104.300003,2208405.0,97.980469,-0.009067044262071278
2014-02-13,2014-02-13,104.849998,105.099998,101.599998,102.0,2706838.0,95.819809,-0.022298724757954247
