Date,Date.1,ICICIBANK.NS.Open,ICICIBANK.NS.High,ICICIBANK.NS.Low,ICICIBANK.NS.Close,ICICIBANK.NS.Volume,ICICIBANK.NS.Adjusted,log_returns
2015-02-27,2015-02-27,295.091003,306.408997,293.635986,304.77301,17157486.0,287.732086,0.042501819871910484
2015-03-02,2015-03-02,318.954987,319.954987,309.591003,317.317993,16237131.0,299.575684,0.04033729656657403
2015-03-03,2015-03-03,316.364014,317.72699,312.817993,316.954987,16309976.0,299.2329410000001,-0.0011447498353218675
2015-03-04,2015-03-04,327.27301,329.091003,314.591003,317.591003,27007377.0,299.833405,0.002004666778893771
2015-03-05,2015-03-05,314.908997,318.091003,309.182007,316.135986,12677759.0,298.459747,-0.004591930925946564
2015-03-09,2015-03-09,310.908997,311.77301,301.591003,302.545013,13711773.0,285.628693,-0.043942381712816385
2015-03-10,2015-03-10,302.454987,307.091003,300.317993,303.317993,15690129.0,286.358459,0.0025516880699640865
2015-03-11,2015-03-11,303.27301,306.317993,299.091003,302.408997,11762499.0,285.500244,-0.0030014954386485826
2015-03-12,2015-03-12,306.864014,308.817993,304.22699,307.454987,12265105.0,290.26413,0.0165484178269244
2015-03-13,2015-03-13,313.635986,314.545013,299.091003,300.182007,14368069.0,283.397797,-0.0239397478023049
2015-03-16,2015-03-16,299.545013,302.72699,296.045013,301.317993,12496540.0,284.470276,0.0037772163152416383
2015-03-17,2015-03-17,301.817993,305.908997,300.135986,304.408997,11214859.0,287.388458,0.01020604270627512
2015-03-18,2015-03-18,302.817993,305.954987,300.954987,304.364014,9603666.0,287.345978,-0.00014782479495423215
2015-03-19,2015-03-19,308.635986,310.364014,298.5,300.182007,15488185.0,283.397797,-0.013835434226562526
2015-03-20,2015-03-20,299.0,299.317993,287.908997,289.635986,23389274.0,273.441437,-0.03576407914159052
2015-03-23,2015-03-23,292.77301,293.091003,284.045013,285.27301,11517029.0,269.322418,-0.015178232815696191
2015-03-24,2015-03-24,282.27301,287.864014,281.317993,283.545013,18209548.0,267.691071,-0.006075646335287566
2015-03-25,2015-03-25,283.635986,290.0,282.817993,288.091003,15109256.0,271.98284900000004,0.01590541369215348
2015-03-26,2015-03-26,282.72699,285.182007,275.091003,279.954987,34971713.0,264.301727,-0.028647653330590824
2015-03-27,2015-03-27,284.545013,287.454987,280.22699,285.954987,17383920.0,269.966309,0.021205813900747827
2015-03-30,2015-03-30,287.545013,290.454987,284.864014,289.72699,14140125.0,273.527374,0.01310453487392671
2015-03-31,2015-03-31,289.908997,293.408997,285.27301,286.817993,14317689.0,270.781006,-0.010091306351753815
2015-04-01,2015-04-01,286.364014,294.908997,285.5,293.77301,9190830.0,277.347168,0.02395963727107908
2015-04-06,2015-04-06,295.864014,295.864014,290.317993,292.045013,10512776.0,275.71579,-0.005899446737004155
2015-04-07,2015-04-07,293.591003,294.045013,286.364014,288.545013,9849292.0,272.41149900000005,-0.01205680174651036
2015-04-08,2015-04-08,289.908997,290.635986,285.954987,286.454987,9158574.0,270.438324,-0.007269722145590406
2015-04-09,2015-04-09,289.091003,292.635986,288.091003,291.454987,13516230.0,275.158752,0.017304146209387916
2015-04-10,2015-04-10,290.454987,292.408997,288.364014,289.364014,9053219.0,273.184692,-0.007200117188633116
2015-04-13,2015-04-13,290.817993,290.817993,287.27301,288.091003,8810669.0,271.98284900000004,-0.004409084755058856
2015-04-15,2015-04-15,289.408997,293.0,284.591003,286.364014,11297755.0,270.352448,-0.006012538445064664
2015-04-16,2015-04-16,287.182007,287.27301,281.954987,284.091003,9682704.0,268.20651200000003,-0.007969219775229242
2015-04-17,2015-04-17,285.5,286.317993,280.22699,281.908997,11639568.0,266.146545,-0.007710172807542826
2015-04-20,2015-04-20,284.454987,288.72699,280.27301,282.864014,11663691.0,267.048157,0.0033819272995838645
2015-04-21,2015-04-21,282.72699,287.817993,281.77301,282.591003,9953639.0,266.790344,-0.000965883950148516
2015-04-22,2015-04-22,284.77301,286.364014,275.817993,284.5,12256207.0,268.592651,0.006732801845164893
2015-04-23,2015-04-23,285.682007,287.182007,281.591003,283.5,10352840.0,267.648529,-0.0035212624869158655
2015-04-24,2015-04-24,284.045013,284.135986,279.182007,280.22699,13482295.0,264.558533,-0.011612137238505404
2015-04-27,2015-04-27,282.454987,284.045013,269.72699,274.817993,24819035.0,259.451996,-0.01949082462091756
2015-04-28,2015-04-28,277.817993,298.72699,277.817993,297.135986,37447522.0,280.52209500000004,0.07808079293272563
